number_of_rooms,lot_size,house_size,number_of_bathrooms,size_of_the_yard,distance_to_santa_monica,distance_to_malibu,distance_to_closest_freeway_entrance,distance_to_shopping_center,distance_to_the_beach,solar_pannel,number_of_parking_spot,gated,HOA,school_district,price
7,6744,2584,4.5,4184,1.54,13.87,0.64,0.18,1.57,0,4,0,0,7.21,2713769
5,4982,1221,3.4,3944,0.8,16.4,1.3,1.2,0.44,0,2,0,1,7.5,598053
3,5193,1317,1.4,3343,2.49,14.41,1.65,0.67,3.32,1,3,0,1,7.54,250000
4,10779,2498,2.4,7966,12.72,3.39,7.89,2.75,1.67,1,4,0,1,7.58,2927615
6,6040,2526,4.2,3528,1.85,21.26,0.46,0.6,0.3,0,4,0,1,7.96,2385269
6,3013,2854,3.7,0,3.28,20.74,1.43,1.09,2.83,0,5,1,0,8.15,1194497
3,2200,1566,2.6,839,0.49,23.16,2.08,0.99,1.58,1,3,1,0,7.71,612850
7,6054,2880,4.1,3569,0.12,18.13,1.22,0.41,0.3,1,3,0,1,7.45,3136539
5,1992,2302,2.7,491,1.31,12.62,0.91,1.37,0.51,0,4,0,0,8.03,1812178
7,2814,3172,4,284,1.96,16.24,0.27,1.26,3.37,0,4,0,0,7.56,1671935
7,53376,2844,4.5,50198,22.56,8.21,9.55,4.61,0.56,1,3,1,1,8.09,5130498
7,2640,2967,3.5,495,1.56,12.11,0.52,1.03,0.11,0,5,0,0,8.08,2820552
6,7975,2710,3.9,5674,2.7,15.12,0.79,0.68,1.85,1,5,0,0,7.45,1605301
2,4109,1063,2.3,2926,2.94,16.13,1.7,1.92,4.2,0,3,1,0,7.61,250000
10,43586,4592,5.8,39994,13.55,6.23,13.9,1.81,1.08,0,6,0,1,8.06,7666065
8,33612,4208,3.8,29907,24.77,6.57,11.02,6.53,1.79,0,5,0,0,8.05,5381315
6,1994,2792,3.8,0,0.96,13.52,1.45,1.18,0.47,0,4,0,1,7.81,2706088
3,5935,1523,3.2,4397,1.15,12.94,0.36,1.45,1.52,0,2,0,1,7.35,831408
10,45846,4504,5.9,41329,21.79,4.31,6.48,3.36,1.54,0,6,0,0,7.56,6876494
2,6519,1118,1.9,5836,2.12,21.51,1.01,1.74,3.31,0,2,0,0,7.9,250000
10,26850,6783,5.2,20641,26.49,2.12,4.69,1.53,0.13,1,6,0,1,8.18,9974358
6,6477,3281,3.1,3189,3.21,23.64,0.65,0.52,3.63,1,5,1,0,8.03,1725061
5,6493,2062,3.2,4686,2.08,15.84,2.27,0.64,0.12,0,4,0,0,7.98,1591667
10,48745,5822,5.9,43813,13.46,5.05,4.58,4.76,0.94,0,6,0,1,8.06,9609036
3,6931,1761,2.2,5501,0.99,21.75,2.38,1.48,1.38,0,4,1,0,7.73,989488
2,2583,1309,1.5,1233,1.35,21.79,1.39,1.25,4.37,1,3,0,1,7.48,250000
8,4680,3129,4.7,2958,1.36,19.55,1.83,0.74,1.17,0,4,0,0,8.02,2974439
8,6867,3168,5.3,4366,1.78,18.43,0.98,1.24,1.26,1,4,0,0,8.05,3249953
9,14123,4727,4.8,9871,18.09,9.71,12.42,6.84,0.99,1,6,1,1,8.11,6001154
5,6761,2294,4.3,4754,0.65,20.06,1.66,0.6,0.29,1,5,0,1,7.71,2274200
7,1950,2637,3.3,0,1.59,20.45,0.77,0.29,0.12,1,3,0,0,7.71,2562530
8,8064,3469,4.8,5504,1.44,25.12,0.99,0.66,2.61,0,4,0,0,7.86,2211290
6,3597,2963,3.3,878,1.24,20.01,0.68,0.37,0.17,0,4,0,0,7.83,2842461
4,39907,1858,3.1,37961,25.98,9.22,4.61,2.79,1.63,0,2,1,0,8.12,2342501
4,3113,2541,2.9,448,2.25,18.14,1.47,0.25,0.86,0,3,0,0,7.61,2049322
10,38054,5203,6.3,33177,24.63,5.08,4.87,4.67,1.21,0,6,1,1,7.93,8362464
3,2595,1466,1.9,1411,0.49,14.24,0.93,0.34,1.62,0,3,0,1,7.64,487637
5,2689,2438,2.7,634,2.33,18.68,1.56,0.49,1.41,0,2,0,1,7.85,1743501
6,4302,2125,3.4,2807,0.22,16.04,0.6,0.19,1.78,1,3,0,0,7.31,1713021
10,50853,6804,6.3,44670,13.99,7.36,13.38,2.1,0.23,1,6,0,0,8.38,10870249
3,5757,1933,2.2,4026,3.63,18.71,1.51,0.99,2.32,0,4,1,0,7.94,250000
8,2995,3444,4.6,0,2.88,18.02,0.42,1.63,3.17,0,5,0,0,7.77,1999810
7,53345,3316,4.3,50740,25.14,1.28,12.46,1.72,0.85,1,4,1,1,7.68,5823743
7,2744,2989,5.5,0,1.5,16.81,1.32,1.43,0.36,1,4,1,1,8.09,3176488
5,3237,2498,3.2,1017,2.82,19.09,1.38,1.88,4.24,0,5,0,0,7.8,546289
3,3534,1816,2.2,1337,1.39,23.04,1.06,0.59,1.35,0,3,0,0,7.6,902262
4,6499,1034,2.8,5576,2.99,16.14,1.74,0.47,2.45,0,2,1,0,8.17,250000
5,5833,1943,3.1,4009,1.36,17.29,1.18,0.88,0.36,0,4,0,0,7.9,1491661
2,2954,1431,2.3,1546,1.71,12.24,0.53,1.22,0.4,0,2,1,1,8.13,466521
5,3324,2962,4.1,38,0.13,13.03,0.76,0.14,0.41,0,4,0,0,7.58,3136617
4,5166,1766,2.9,3395,3.85,23.16,0.42,1.76,2.71,0,3,0,0,7.45,250000
8,59158,4344,4.9,56251,14.75,2.87,4.18,7.38,0.32,1,6,0,0,8.06,7797132
4,6722,1456,2.4,5505,3.74,19.03,0.81,1.13,1.16,0,2,0,0,7.88,250000
5,4745,1995,2.5,2947,1.69,23.24,1.91,0.4,0.15,0,3,0,1,7.72,1571157
3,5157,1641,2.2,3643,3.46,23.59,1.31,0.69,3.07,0,3,0,1,7.71,250000
8,6907,3208,4.7,4244,1.75,19.87,0.55,1.98,4.3,1,4,1,0,7.83,1834930
3,6110,985,1.9,5130,1.53,14.76,0.57,0.21,1.28,0,2,0,0,7.73,250000
3,3784,1063,2,2572,3.61,14.26,1.6,1.15,4.29,0,1,1,1,7.47,250000
3,5635,1449,2.5,5106,0.37,16.26,0.93,0.51,0.5,0,2,1,1,7.77,768514
10,57016,4017,6.3,52615,21.81,1.84,13.91,2.47,1.89,0,6,0,0,7.76,7374369
6,6839,2933,3.9,3924,2.33,23.94,0.68,0.65,1.39,0,5,0,1,7.61,2854481
4,20342,2125,2.9,17555,26.22,9.57,12.62,6.63,1.34,0,2,1,0,7.73,2155726
10,32738,4091,5.3,29351,21.48,8.28,7.48,5.68,1.17,1,6,1,1,8.18,6461235
6,6407,2957,3.3,3400,1.48,24.57,1.59,0.25,3.89,1,5,0,0,7.7,1361406
6,3967,2648,3.8,1887,2.62,23.36,0.37,1.57,2.89,0,4,1,0,7.79,1065452
6,2658,2514,3.4,330,2.04,21.45,0.27,1.77,4.41,1,2,0,0,7.29,672189
6,5933,2495,3.7,4610,0.63,12.99,1.8,1.02,0.56,0,3,0,1,7.95,2329268
2,2908,972,1.8,2388,1.66,16.42,2.2,0.76,1.75,1,3,0,1,7.57,250000
5,32002,2057,2.9,30571,14,6.92,8.3,2.24,1.03,0,3,0,0,7.66,2796337
4,6280,1758,2.6,5899,3.08,24.32,1.45,0.27,2.68,0,3,0,0,7.62,250000
2,3623,976,2.2,3444,0.29,16.76,0.59,0.89,1.27,0,3,1,0,8.07,250000
10,44561,5890,6.2,39461,17.43,8.19,4.8,7.24,1.14,1,6,0,0,8.02,9038189
10,17838,6865,5.7,11678,17.39,1.98,11.9,5.54,1.05,0,6,1,0,8.64,9760083
3,7250,2106,3.4,5302,2.04,18.45,1.78,0.27,4.03,1,5,1,0,7.83,370885
10,17376,4889,5.2,12963,22.1,7.38,5.32,5.95,1.83,0,6,1,0,7.7,6908249
3,3312,2017,2.2,449,3.91,17.1,1.25,0.79,3.71,1,3,0,0,7.86,250000
3,2672,984,2.5,1656,1.87,19.97,1.34,1.28,1.47,0,2,0,0,7.52,250000
10,23072,4241,5.7,19189,12.67,1.65,13.87,7.75,0.11,0,6,0,1,8.23,5993475
8,5302,3131,4.8,2559,0.33,20.07,1.28,1.32,0.4,0,5,0,1,7.77,3408489
10,43234,5188,5.4,38735,15.45,6.66,7.94,5.49,0.3,1,6,1,0,8.5,7793220
10,47163,5868,4.8,42680,18.97,8.21,5.2,4.72,0.11,0,6,0,0,7.94,9111836
5,4938,2437,3.2,2166,1.59,17.56,1.14,1.31,0.98,0,3,0,0,8.02,1939758
10,44779,6751,5.5,38326,12.29,2.12,4.08,5.46,1.81,0,6,0,0,8.41,10141106
5,4317,2587,3.5,2912,3.15,17.27,0.86,0.42,1.63,0,4,0,0,7.72,1172725
3,35712,1643,2,33532,22.13,9.52,10.02,6.7,1.78,1,4,1,0,7.91,1752668
5,6078,1875,2.9,4213,1.7,13.15,1.67,0.73,1.1,0,3,0,1,7.86,1408245
6,3833,2267,3.4,2077,1.29,23.85,0.6,1.07,0.79,0,5,0,0,7.51,1850262
5,2161,2094,4.3,0,0.26,21.6,0.81,0.86,1.6,1,2,1,1,8.16,1505350
5,2609,2462,2.8,25,3.87,16.1,1.3,0.56,2.88,1,5,0,1,7.54,828683
6,6961,3032,3.9,4484,1.4,22.1,1.45,0.97,0.25,1,5,0,0,7.69,3014527
5,6672,2174,3.7,4757,0.83,16.76,1.28,0.94,0.98,0,3,1,1,7.98,1886685
4,2221,1827,2.9,1809,0.52,20.34,1.06,1.47,1.19,1,3,0,0,7.45,1104665
2,2154,959,1,821,0.42,23.56,1.51,1.45,0.84,0,2,0,1,7.38,250000
4,5860,1958,2.6,3915,0.24,23.94,0.43,1.07,1.77,0,3,0,0,7.68,1150040
6,39222,3115,3.6,35833,21.98,5.37,8.26,1.74,1.78,1,3,1,1,7.93,4622077
3,2331,1676,2.3,0,3.28,15.65,1.06,0.59,1.04,1,4,0,0,7.56,250000
4,5437,1977,3.3,3355,2.18,19.51,1.46,1.81,4.34,0,4,0,0,7.5,250000
